City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current description,Rain (last 3 hrs),Snow (last 3 hrs),Date
143,Bonthe,7.53,-12.51,80.1,84,100,2.84,SL,,,,2020-05-30 21:20:11
144,Olafsvik,64.89,-23.71,46.53,75,98,12.71,IS,overcast clouds,0.0,0.0,2020-05-30 21:24:06
145,Olafsvik,64.89,-23.71,46.53,75,98,12.71,IS,,,,2020-05-30 21:24:06
146,Severo-Kurilsk,50.68,156.12,39.65,89,97,9.71,RU,overcast clouds,0.0,0.0,2020-05-30 21:20:15
147,Severo-Kurilsk,50.68,156.12,39.65,89,97,9.71,RU,,,,2020-05-30 21:20:15
148,Harsin,34.27,47.59,66.2,13,98,4.7,IR,overcast clouds,0.0,0.0,2020-05-30 21:27:57
149,Harsin,34.27,47.59,66.2,13,98,4.7,IR,,,,2020-05-30 21:27:57
150,Vaini,-21.2,-175.2,77.0,94,40,3.36,TO,scattered clouds,0.0,0.0,2020-05-30 21:17:13
151,Vaini,-21.2,-175.2,77.0,94,40,3.36,TO,,,,2020-05-30 21:17:13
152,Geraldton,-28.77,114.6,55.4,93,40,6.93,AU,scattered clouds,0.0,0.0,2020-05-30 21:19:51
153,Geraldton,-28.77,114.6,55.4,93,40,6.93,AU,,,,2020-05-30 21:19:51
154,Dalnerechensk,45.93,133.72,57.04,70,2,10.2,RU,light rain,0.0,0.0,2020-05-30 21:27:57
155,Dalnerechensk,45.93,133.72,57.04,70,2,10.2,RU,,,,2020-05-30 21:27:57
156,Pisco,-13.7,-76.22,68.0,77,40,8.05,PE,scattered clouds,0.0,0.0,2020-05-30 21:16:16
157,Pisco,-13.7,-76.22,68.0,77,40,8.05,PE,,,,2020-05-30 21:16:16
158,Barrow,71.29,-156.79,35.6,80,1,18.34,US,clear sky,0.0,0.0,2020-05-30 21:17:48
159,Barrow,71.29,-156.79,35.6,80,1,18.34,US,,,,2020-05-30 21:17:48
160,Arraial Do Cabo,-22.97,-42.03,73.4,83,0,6.93,BR,clear sky,0.0,0.0,2020-05-30 21:19:37
161,Arraial Do Cabo,-22.97,-42.03,73.4,83,0,6.93,BR,,,,2020-05-30 21:19:37
162,Hernani,43.27,-1.98,69.8,68,2,3.36,ES,clear sky,0.0,0.0,2020-05-30 21:27:57
163,Hernani,43.27,-1.98,69.8,68,2,3.36,ES,,,,2020-05-30 21:27:57
164,Qaanaaq,77.48,-69.36,29.97,94,1,3.04,GL,clear sky,0.0,0.0,2020-05-30 21:17:21
165,Qaanaaq,77.48,-69.36,29.97,94,1,3.04,GL,,,,2020-05-30 21:17:21
166,Srandakan,-7.94,110.25,78.46,85,56,5.95,ID,broken clouds,0.0,0.0,2020-05-30 21:27:57
167,Srandakan,-7.94,110.25,78.46,85,56,5.95,ID,,,,2020-05-30 21:27:57
168,Puerto Escondido,15.85,-97.07,84.2,70,75,9.17,MX,broken clouds,0.0,0.0,2020-05-30 21:27:58
169,Puerto Escondido,15.85,-97.07,84.2,70,75,9.17,MX,,,,2020-05-30 21:27:58
170,Matagami,49.75,-77.63,41.0,52,90,12.75,CA,overcast clouds,0.0,0.0,2020-05-30 21:17:30
171,Matagami,49.75,-77.63,41.0,52,90,12.75,CA,,,,2020-05-30 21:17:30
172,Rio Gallegos,-51.62,-69.22,48.2,45,75,13.87,AR,broken clouds,0.0,0.0,2020-05-30 21:27:58
173,Rio Gallegos,-51.62,-69.22,48.2,45,75,13.87,AR,,,,2020-05-30 21:27:58
174,Hithadhoo,-0.6,73.08,84.43,67,45,8.12,MV,scattered clouds,0.0,0.0,2020-05-30 21:19:45
175,Hithadhoo,-0.6,73.08,84.43,67,45,8.12,MV,,,,2020-05-30 21:19:45
