City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
108,Joao Pinheiro,BR,2020-05-27 20:18:44,-17.74,-46.17,65.08,69,0,2.06
109,Saint-Michel-Des-Saints,CA,2020-05-27 20:18:44,46.68,-73.92,89.37,34,0,11.65
110,Mahebourg,MU,2020-05-27 20:18:44,-20.41,57.7,75.2,83,40,11.41
111,Ariogala,LT,2020-05-27 20:18:45,55.27,23.47,57.2,62,25,3.36
112,Mizan Teferi,ET,2020-05-27 20:18:45,6.98,35.58,63.07,91,96,2.55
113,Pitimbu,BR,2020-05-27 20:14:37,-7.47,-34.81,84.2,74,40,6.93
114,Hithadhoo,MV,2020-05-27 20:18:45,-0.6,73.08,84.47,72,67,7.38
115,Puerto Ayora,EC,2020-05-27 20:18:45,-0.74,-90.35,78.8,74,40,11.41
116,Tessaoua,NE,2020-05-27 20:18:45,13.76,7.99,91.04,36,100,11.3
117,Trelew,AR,2020-05-27 20:18:46,-43.25,-65.31,56.98,36,96,13.53
118,Gazli,UZ,2020-05-27 20:18:46,40.13,63.45,91.9,12,0,13.29
119,Zhifang,CN,2020-05-27 20:18:46,30.35,114.32,77.0,78,92,2.24
120,Bucerias,MX,2020-05-27 20:18:46,20.75,-105.33,82.99,61,20,13.87
121,Roma,US,2020-05-27 20:15:16,43.21,-75.46,89.6,40,1,3.36
122,Yumen,CN,2020-05-27 20:18:46,40.28,97.2,64.13,27,0,14.41
123,Avarua,CK,2020-05-27 20:18:46,-21.21,-159.78,78.8,69,14,8.05
124,Portland,US,2020-05-27 20:16:31,45.52,-122.68,78.01,43,1,8.05
125,Clyde River,CA,2020-05-27 20:18:47,70.47,-68.59,28.4,79,75,4.7
126,Tacoronte,ES,2020-05-27 20:18:47,28.48,-16.41,73.0,64,0,8.05
127,Ketchikan,US,2020-05-27 20:18:47,55.34,-131.65,53.6,71,20,13.87
128,Vila Franca Do Campo,PT,2020-05-27 20:18:47,37.72,-25.43,66.2,77,40,13.87
129,Erenhot,CN,2020-05-27 20:18:48,43.65,111.98,64.45,29,54,11.92
130,Tuktoyaktuk,CA,2020-05-27 20:18:48,69.45,-133.04,35.6,69,20,10.29
131,Biga,TR,2020-05-27 20:18:48,40.23,27.24,57.2,82,75,11.41
132,Yakovlevka,RU,2020-05-27 20:18:48,44.42,133.48,43.43,93,7,3.27
133,Ciudad Bolivar,VE,2020-05-27 20:18:48,8.12,-63.55,91.22,46,100,5.93
134,Tsiroanomandidy,MG,2020-05-27 20:18:48,-18.77,46.03,63.52,68,0,2.59
135,Mwinilunga,ZM,2020-05-27 20:18:48,-11.74,24.43,61.81,57,68,2.21
136,Sechura,PE,2020-05-27 20:18:49,-5.56,-80.82,75.79,66,81,15.68
137,Guarapari,BR,2020-05-27 20:18:49,-20.67,-40.5,75.2,50,0,11.41
138,Bethel,US,2020-05-27 20:18:37,41.37,-73.41,82.0,57,1,12.75
139,Pangkalanbuun,ID,2020-05-27 20:18:49,-2.68,111.62,75.2,94,100,1.92
140,Nanortalik,GL,2020-05-27 20:18:49,60.14,-45.24,37.94,82,48,8.1
141,Mana,GF,2020-05-27 20:18:49,5.66,-53.78,81.77,75,8,12.41
142,Yulara,AU,2020-05-27 20:16:17,-25.24,130.99,48.2,70,40,9.17
143,Provideniya,RU,2020-05-27 20:18:49,64.38,-173.3,33.8,100,90,17.9
144,Souillac,MU,2020-05-27 20:18:50,-20.52,57.52,75.2,83,40,11.41
145,Richards Bay,ZA,2020-05-27 20:18:50,-28.78,32.04,57.0,54,34,3.53
146,Kruisfontein,ZA,2020-05-27 20:18:50,-34.0,24.73,50.34,51,21,8.48
147,Grindavik,IS,2020-05-27 20:16:15,63.84,-22.43,46.4,87,90,26.4
148,Rundu,NA,2020-05-27 20:18:50,-17.93,19.77,62.6,42,0,4.7
149,Pastavy,BY,2020-05-27 20:18:50,55.12,26.83,50.74,83,47,4.16
150,Port Hardy,CA,2020-05-27 20:18:51,50.7,-127.42,57.2,62,75,4.7
151,Hazorasp,UZ,2020-05-27 20:18:51,41.32,61.07,77.0,44,0,6.93
152,Bandarbeyla,SO,2020-05-27 20:18:51,9.49,50.81,81.03,74,99,4.0
153,Luderitz,NA,2020-05-27 20:18:51,-26.65,15.16,57.2,54,25,12.75
154,Ostrovnoy,RU,2020-05-27 20:18:51,68.05,39.51,45.64,83,100,9.78
155,Hermanus,ZA,2020-05-27 20:18:51,-34.42,19.23,54.0,71,14,11.01
156,Leningradskiy,RU,2020-05-27 20:18:51,69.38,178.42,35.58,85,0,4.72
157,Songjianghe,CN,2020-05-27 20:18:51,42.19,127.48,43.74,95,90,3.44
158,Surgut,RU,2020-05-27 20:18:52,61.25,73.42,44.6,87,100,2.24
159,Sorland,NO,2020-05-27 20:18:52,67.67,12.69,42.8,81,75,18.34
160,Northam,GB,2020-05-27 20:18:52,51.03,-4.22,62.01,74,0,1.01
161,Maniwaki,CA,2020-05-27 20:18:52,46.38,-75.97,92.07,35,20,11.21
162,Pangnirtung,CA,2020-05-27 20:18:52,66.15,-65.71,30.2,74,90,18.34
163,Nabire,ID,2020-05-27 20:18:52,-3.37,135.48,76.37,87,31,3.38
164,Nibbar,TN,2020-05-27 20:18:52,36.29,8.77,68.0,40,0,10.29
165,Kahului,US,2020-05-27 20:18:53,20.89,-156.47,87.8,48,40,8.05
166,Yar-Sale,RU,2020-05-27 20:18:53,66.83,70.83,45.05,57,100,5.91
167,Longyearbyen,SJ,2020-05-27 20:18:53,78.22,15.64,44.6,70,75,8.05
168,Bodden Town,KY,2020-05-27 20:18:53,19.28,-81.25,87.8,74,20,6.93
169,Prainha,BR,2020-05-27 20:18:53,-1.8,-53.48,84.67,77,28,3.96
170,Asfi,MA,2020-05-27 20:18:54,32.3,-9.24,68.04,88,33,4.32
171,Airai,TL,2020-05-27 20:18:54,-8.93,125.41,59.92,100,0,1.43
172,Sinnamary,GF,2020-05-27 20:18:54,5.38,-52.95,81.34,77,58,12.37
173,Beringovskiy,RU,2020-05-27 20:18:54,63.05,179.32,34.48,97,100,5.53
174,Straoane,RO,2020-05-27 20:18:54,45.93,27.05,52.0,93,75,4.7
175,Fairbanks,US,2020-05-27 20:16:41,64.84,-147.72,57.99,58,20,3.94
176,Coihaique,CL,2020-05-27 20:18:54,-45.58,-72.07,50.0,61,75,5.82
