City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
Marrakesh,MA,71.6,overcast clouds,31.63,-8.01,Les Jardins de La Koutoubia
Tshikapa,CD,74.32,clear sky,-6.42,20.8,Hôtel Tshia-Muntu de Tshikapa
Matara,LK,79.86,light rain,5.95,80.54,Amaloh Boutique Resort
Namibe,AO,74.1,few clouds,-15.2,12.15,Chik-Chik Namibe
Shu,KZ,72.0,clear sky,43.6,73.76,Shyngyzkhan
San Policarpo,PH,81.93,clear sky,12.18,125.51,Zal-Ann Beach Resort
Tomatlan,MX,84.58,broken clouds,19.93,-105.25,Norma franco
Atyrau,KZ,77.0,clear sky,47.12,51.88,River Palace Hotel
Biak,ID,78.55,broken clouds,-0.91,122.88,Kost Ariz
Guerrero Negro,MX,73.96,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
Dicabisagan,PH,78.76,clear sky,17.08,122.42,
Takoradi,GH,78.1,moderate rain,4.88,-1.76,Raybow International Hotel
Grand Gaube,MU,71.01,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
Balikpapan,ID,78.8,few clouds,-1.27,116.83,Swiss-Belhotel Balikpapan
Marawi,PH,77.0,moderate rain,8.0,124.29,Derogongan Residence
Khambhat,IN,86.38,clear sky,22.3,72.62,Anand
Newark,US,84.2,scattered clouds,40.74,-74.17,Best Western Plus Robert Treat Hotel
Kalianget,ID,81.37,moderate rain,-7.05,113.93,Pesanggrahan Garam
Singapore,SG,82.4,broken clouds,1.29,103.85,Swissôtel The Stamford
Daud Khel,PK,78.51,light rain,32.88,71.57,MLCFL CFPP Hostel 6
Catumbela,AO,74.89,few clouds,-12.43,13.55,Hotel Do Kamgamba
Caravelas,BR,71.38,clear sky,-17.71,-39.25,Pousada dos Navegantes
Port Keats,AU,70.9,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
Frontera,MX,84.99,overcast clouds,26.93,-101.45,Fiesta Inn Monclova
Ukwa,IN,80.92,scattered clouds,21.97,80.47,Chouksey Hotel & Rajat Transport
Katobu,ID,77.0,overcast clouds,-4.94,122.53,La Ode Gombe
San Ramon,US,71.6,light rain,37.78,-121.98,San Ramon Marriott
Ilebo,CD,72.73,broken clouds,-4.32,20.58,Hôtel des palmes
Mazatlan,MX,79.0,overcast clouds,23.22,-106.42,Gaviana Resort
Itaituba,BR,80.6,scattered clouds,-4.28,-55.98,Hotel Campos
Vao,NC,72.05,scattered clouds,-22.67,167.48,Hotel Kou-Bugny
Banda Aceh,ID,80.37,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
Omboue,GA,75.63,broken clouds,-1.57,9.26,Hotel Olako
Mainit,PH,79.18,light rain,9.54,125.52,P&G Apartment
Bocaue,PH,84.2,few clouds,14.8,120.93,3Ds HOMEMADE SPECIALTIES
Alugan,PH,81.21,clear sky,12.22,125.48,BEMBEM RAIN FEED RESORT
Lafia,NG,80.98,overcast clouds,8.48,8.52,Low Cost Housing Estate
Kutum,SD,77.02,clear sky,14.2,24.67,Dibbo areaمنطقة دبو
Abong Mbang,CM,71.19,overcast clouds,3.98,13.18,Hotel Delice Du Haut Nyong
Banjar,ID,78.8,scattered clouds,-8.19,114.97,The Hamsa Resort
Tabou,CI,78.69,overcast clouds,4.42,-7.35,hotêl doufoulougou
Ixtapa,MX,78.8,overcast clouds,20.7,-105.2,Container Inn Puerto Vallarta
Kedougou,SN,81.01,light rain,12.56,-12.17,Relais de Kédougou
Aquiraz,BR,82.4,few clouds,-3.9,-38.39,Pousada Rua Camurupim
Nanlong,CN,72.34,light rain,31.35,106.06,Demei Hotel
San Quintin,MX,70.68,clear sky,30.48,-115.95,Old Mill Hotel
Fare,PF,81.28,clear sky,-16.7,-151.02,Maitai Lapita Village Huahine
Catia La Mar,VE,84.2,broken clouds,10.6,-67.03,HOTEL PLAYA GRANDE CARIBE
Hamilton,US,73.99,scattered clouds,39.18,-84.53,Six Acres Bed & Breakfast
Shubarkuduk,KZ,78.3,overcast clouds,49.14,56.49,
Marsh Harbour,BS,78.93,few clouds,26.54,-77.06,Abaco Beach Resort
Pangkalanbuun,ID,75.52,scattered clouds,-2.68,111.62,Grand Kecubung Hotel
Sakhipur,BD,80.6,haze,24.3,90.18,"সুইট হোম, মাস্টার বাড়ী"
Kaka,TM,80.78,clear sky,37.35,59.61,
Ajdabiya,LY,74.57,scattered clouds,30.76,20.23,فندق التوجان
Alta Floresta,BR,87.8,few clouds,-9.88,-56.09,Floresta Amazonica Hotel
Bolobo,CD,74.41,moderate rain,-2.17,16.23,
Cody,US,82.4,clear sky,44.53,-109.06,Buffalo Bill (Cabins) Village
Vilhena,BR,82.4,few clouds,-12.74,-60.15,Hotel Mirage
Benjamin Constant,BR,87.8,few clouds,-4.38,-70.03,CASA AVALIADA
Fairfield,US,82.0,scattered clouds,41.27,-73.32,
Tiarei,PF,86.0,few clouds,-17.53,-149.33,Le Rocher de Tahiti
Aswan,EG,80.6,clear sky,24.09,32.91,Nuba Nile
Buta,CD,71.11,overcast clouds,2.79,24.73,HOTEL BISO NA BISO
Sinait,PH,78.8,few clouds,17.87,120.46,
Half Moon Bay,US,72.0,overcast clouds,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
Tambura,SS,71.4,overcast clouds,5.6,27.47,Guest hous Tambura
Jacareacanga,BR,82.63,few clouds,-6.22,-57.75,Casa do Ian😎
Fairbanks,US,77.0,broken clouds,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
Tahta,EG,82.4,clear sky,26.77,31.5,Møhãmęd Tãręk 🏠
Sabha,LY,85.21,scattered clouds,27.04,14.43,محطة ام الارانب -سبها مواصلات
Inyonga,TZ,70.11,broken clouds,-6.72,32.07,Eden Rock Lodge
Japura,ID,74.75,few clouds,-0.32,102.35,KOST dan HOMESTAY RUMAH KITA JOSH
Padang,ID,79.63,light rain,-0.95,100.35,Mercure Padang
Waingapu,ID,75.6,clear sky,-9.66,120.26,Pondok Wisata Elim
Cartagena Del Chaira,CO,87.48,broken clouds,1.33,-74.84,HOTEL LA ROCA
Sarangani,PH,84.67,moderate rain,5.4,125.46,Ballistic Islet
Boyuibe,BO,77.16,broken clouds,-20.42,-63.28,Residencial Eluzai
Buala,SB,82.26,light rain,-8.14,159.59,Maringe Lagoon Lodge
Cap Malheureux,MU,71.01,clear sky,-19.98,57.61,Pereybere Hotel & Spa
Itacoatiara,BR,80.6,light rain,-3.14,-58.44,BBB Rooms Centro Itacoatiara AM
Smoky Lake,CA,72.0,overcast clouds,54.12,-112.47,Country Garden Hotel
Shihezi,CN,71.82,broken clouds,44.3,86.03,Home Inn Shihezi Dongwu Road Century Square
Chickasha,US,84.99,clear sky,35.05,-97.94,Holiday Inn Express & Suites Chickasha
Adre,TD,83.93,overcast clouds,13.47,22.2,
Marigot,MF,87.8,few clouds,18.07,-63.08,Royal Palm Beach Resort
Angoram,PG,74.26,light rain,-4.06,144.07,
Sinnamary,GF,80.62,light rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
Mae Sai,TH,75.2,few clouds,20.43,99.88,Piyaporn Hill Paradise Hotel
Veraval,IN,83.77,few clouds,20.9,70.37,Lords Inn Somnath
